label,trades,wins,losses,wr,pnl,ret_pct,max_dd,max_dd_pct,expectancy,rr,buy_trades,sell_trades,circle_trades,arrow_trades,buy_pnl,sell_pnl,circle_pnl,arrow_pnl,config,risk_adj
NO filters,948,441,507,46.51898734177215,1191.0,238.2,-57.0,-3.37,1.256,2.5,489,459,631,317,625.0,566.0,628.0,563.0,"{'zone': False, 'sideways': False, 'timing': False, 'buy': True, 'sell': True, 'circle': True, 'arrow': True}",20.894736842105264
BASELINE (all on),24,11,13,45.83333333333333,29.0,5.8,-8.0,-1.49,1.208,2.5,12,12,12,12,18.0,11.0,4.0,25.0,"{'zone': True, 'sideways': True, 'timing': True, 'buy': True, 'sell': True, 'circle': True, 'arrow': True}",3.625
Only ZONE filter,746,359,387,48.12332439678284,1021.0,204.2,-38.0,-2.5,1.369,2.5,384,362,500,246,548.0,473.0,568.0,453.0,"{'zone': True, 'sideways': False, 'timing': False, 'buy': True, 'sell': True, 'circle': True, 'arrow': True}",26.86842105263158
Only SIDEWAYS filter,74,34,40,45.94594594594595,90.0,18.0,-12.0,-2.01,1.216,2.5,36,38,53,21,61.0,29.0,41.0,49.0,"{'zone': False, 'sideways': True, 'timing': False, 'buy': True, 'sell': True, 'circle': True, 'arrow': True}",7.5
Only TIMING filter,482,231,251,47.9253112033195,653.0,130.6,-52.0,-4.5,1.355,2.5,247,235,250,232,346.0,307.0,186.0,467.0,"{'zone': False, 'sideways': False, 'timing': True, 'buy': True, 'sell': True, 'circle': True, 'arrow': True}",12.557692307692308
ZONE + TIMING,384,189,195,49.21875,555.0,111.0,-33.0,-3.12,1.445,2.5,199,185,200,184,309.0,246.0,174.0,381.0,"{'zone': True, 'sideways': False, 'timing': True, 'buy': True, 'sell': True, 'circle': True, 'arrow': True}",16.818181818181817
ZONE + SIDEWAYS,48,24,24,50.0,72.0,14.4,-10.0,-1.73,1.5,2.5,24,24,36,12,50.0,22.0,47.0,25.0,"{'zone': True, 'sideways': True, 'timing': False, 'buy': True, 'sell': True, 'circle': True, 'arrow': True}",7.2
SIDEWAYS + TIMING,34,16,18,47.05882352941176,44.0,8.8,-7.0,-1.28,1.294,2.5,15,19,17,17,26.0,18.0,1.0,43.0,"{'zone': False, 'sideways': True, 'timing': True, 'buy': True, 'sell': True, 'circle': True, 'arrow': True}",6.285714285714286
BUY only (all filters),12,6,6,50.0,18.0,3.6,-6.0,-1.15,1.5,2.5,12,0,5,7,18.0,0.0,4.0,14.0,"{'zone': True, 'sideways': True, 'timing': True, 'buy': True, 'sell': False, 'circle': True, 'arrow': True}",3.0
SELL only (all filters),12,5,7,41.66666666666667,11.0,2.2,-8.0,-1.55,0.917,2.5,0,12,7,5,0.0,11.0,0.0,11.0,"{'zone': True, 'sideways': True, 'timing': True, 'buy': False, 'sell': True, 'circle': True, 'arrow': True}",1.375
ARROW only (all filters),12,7,5,58.333333333333336,25.0,5.0,-4.0,-0.76,2.083,2.5,7,5,0,12,14.0,11.0,0.0,25.0,"{'zone': True, 'sideways': True, 'timing': True, 'buy': True, 'sell': True, 'circle': False, 'arrow': True}",6.25
CIRCLE only (all filters),18,8,10,44.44444444444444,20.0,4.0,-8.0,-1.52,1.111,2.5,8,10,18,0,12.0,8.0,20.0,0.0,"{'zone': True, 'sideways': True, 'timing': True, 'buy': True, 'sell': True, 'circle': True, 'arrow': False}",2.5
ARROW + BUY only,7,4,3,57.14285714285714,14.0,2.8,-2.0,-0.39,2.0,2.5,7,0,0,7,14.0,0.0,0.0,14.0,"{'zone': True, 'sideways': True, 'timing': True, 'buy': True, 'sell': False, 'circle': False, 'arrow': True}",7.0
ARROW + No filters,317,171,146,53.94321766561514,563.0,112.6,-20.0,-1.88,1.776,2.5,174,143,0,317,268.0,295.0,0.0,563.0,"{'zone': False, 'sideways': False, 'timing': False, 'buy': True, 'sell': True, 'circle': False, 'arrow': True}",28.15
ARROW + Zone only,246,135,111,54.87804878048781,453.0,90.6,-15.0,-1.57,1.841,2.5,138,108,0,246,249.0,204.0,0.0,453.0,"{'zone': True, 'sideways': False, 'timing': False, 'buy': True, 'sell': True, 'circle': False, 'arrow': True}",30.2
ARROW + Zone+Timing,184,107,77,58.152173913043484,381.0,76.2,-11.0,-1.25,2.071,2.5,105,79,0,184,210.0,171.0,0.0,381.0,"{'zone': True, 'sideways': False, 'timing': True, 'buy': True, 'sell': True, 'circle': False, 'arrow': True}",34.63636363636363
Sideways threshold 0.05,384,189,195,49.21875,555.0,111.0,-33.0,-3.12,1.445,2.5,199,185,200,184,309.0,246.0,174.0,381.0,"{'zone': True, 'sideways': True, 'timing': True, 'buy': True, 'sell': True, 'circle': True, 'arrow': True, 'sideways_threshold': 0.05}",16.818181818181817
Sideways threshold 0.08,344,169,175,49.127906976744185,495.0,99.0,-25.0,-2.51,1.439,2.5,180,164,178,166,298.0,197.0,141.0,354.0,"{'zone': True, 'sideways': True, 'timing': True, 'buy': True, 'sell': True, 'circle': True, 'arrow': True, 'sideways_threshold': 0.08}",19.8
Sideways threshold 0.12,137,65,72,47.44525547445255,181.0,36.2,-14.0,-2.06,1.321,2.5,71,66,73,64,103.0,78.0,43.0,138.0,"{'zone': True, 'sideways': True, 'timing': True, 'buy': True, 'sell': True, 'circle': True, 'arrow': True, 'sideways_threshold': 0.12}",12.928571428571429
London + NY session,14,9,5,64.28571428571429,35.0,7.0,-4.0,-0.75,2.5,2.5,7,7,4,10,14.0,21.0,13.0,22.0,"{'zone': True, 'sideways': True, 'timing': True, 'buy': True, 'sell': True, 'circle': True, 'arrow': True, 'sessions': ['london', 'new_york']}",8.75
Asia session,14,4,10,28.57142857142857,0.0,0.0,-8.0,-1.57,0.0,2.5,6,8,9,5,9.0,-9.0,-4.0,4.0,"{'zone': True, 'sideways': True, 'timing': True, 'buy': True, 'sell': True, 'circle': True, 'arrow': True, 'sessions': ['tokyo', 'sydney']}",0.0
