label,trades,wins,losses,wr,pnl,max_dd,expectancy,rr,risk_adj
BASELINE,947,435.0,512.0,45.9,1151.0,-63.0,1.215,2.5,18.26984126984127
ZONE filter only (live 0.3%),699,341.0,358.0,48.8,989.0,-30.0,1.415,2.5,32.96666666666667
SIDEWAYS filter only (default),234,94.0,140.0,40.2,190.0,-36.0,0.812,2.5,5.277777777777778
TIMING filter only (M5+M1),399,198.0,201.0,49.6,588.0,-44.0,1.474,2.5,13.363636363636363
TIMING filter only (M5 only),572,275.0,297.0,48.1,781.0,-52.0,1.365,2.5,15.01923076923077
TIMING filter only (M1 only),538,259.0,279.0,48.1,737.0,-50.0,1.37,2.5,14.74
ZONE_PCT_0.001,882,411.0,471.0,46.6,1113.0,-53.0,1.262,2.5,21.0
ZONE_PCT_0.0015,850,399.0,451.0,46.9,1093.0,-44.0,1.286,2.5,24.84090909090909
ZONE_PCT_0.002,810,380.0,430.0,46.9,1040.0,-43.0,1.284,2.5,24.186046511627907
ZONE_PCT_0.0025,768,362.0,406.0,47.1,998.0,-40.0,1.299,2.5,24.95
ZONE_PCT_0.003,699,341.0,358.0,48.8,989.0,-30.0,1.415,2.5,32.96666666666667
ZONE_PCT_0.0035,662,325.0,337.0,49.1,951.0,-28.0,1.437,2.5,33.964285714285715
ZONE_PCT_0.004,604,307.0,297.0,50.8,941.0,-24.0,1.558,2.5,39.208333333333336
ZONE_PCT_0.005,525,274.0,251.0,52.2,868.0,-21.0,1.653,2.5,41.333333333333336
SW_0.05,947,435.0,512.0,45.9,1151.0,-63.0,1.215,2.5,18.26984126984127
SW_0.1,762,337.0,425.0,44.2,835.0,-50.0,1.096,2.5,16.7
SW_0.15,234,94.0,140.0,40.2,190.0,-36.0,0.812,2.5,5.277777777777778
SW_0.2,23,9.0,14.0,39.1,17.0,-6.0,0.739,2.5,2.8333333333333335
SW_0.25,0,,,0.0,0.0,0.0,0.0,0.0,0.0
SW_0.3,0,,,0.0,0.0,0.0,0.0,0.0,0.0
SW_0.4,0,,,0.0,0.0,0.0,0.0,0.0,0.0
SW_LB_5,947,435.0,512.0,45.9,1151.0,-63.0,1.215,2.5,18.26984126984127
SW_LB_10,947,435.0,512.0,45.9,1151.0,-63.0,1.215,2.5,18.26984126984127
SW_LB_15,947,435.0,512.0,45.9,1151.0,-63.0,1.215,2.5,18.26984126984127
SW_LB_20,947,435.0,512.0,45.9,1151.0,-63.0,1.215,2.5,18.26984126984127
SW_LB_30,940,434.0,506.0,46.2,1158.0,-63.0,1.232,2.5,18.38095238095238
SW_LB_50,830,386.0,444.0,46.5,1042.0,-58.0,1.255,2.5,17.96551724137931
BUY only (no other filter),487,225.0,262.0,46.2,601.0,-38.0,1.234,2.5,15.81578947368421
SELL only (no other filter),460,210.0,250.0,45.7,550.0,-47.0,1.196,2.5,11.702127659574469
ARROW only (no other filter),313,168.0,145.0,53.7,550.0,-20.0,1.757,2.5,27.5
CIRCLE only (no other filter),784,353.0,431.0,45.0,903.0,-60.0,1.152,2.5,15.05
BUY + ARROW only,171,87.0,84.0,50.9,267.0,-15.0,1.561,2.5,17.8
SELL + ARROW only,142,81.0,61.0,57.0,283.0,-17.0,1.993,2.5,16.647058823529413
BUY + CIRCLE only,392,181.0,211.0,46.2,483.0,-39.0,1.232,2.5,12.384615384615385
SESSION_Tokyo only,347,168.0,179.0,48.4,482.0,-36.0,1.389,2.5,13.38888888888889
SESSION_London only,350,143.0,207.0,40.9,301.0,-29.0,0.86,2.5,10.379310344827585
SESSION_NY only,358,142.0,216.0,39.7,278.0,-38.0,0.777,2.5,7.315789473684211
SESSION_Sydney only,359,179.0,180.0,49.9,535.0,-37.0,1.49,2.5,14.45945945945946
SESSION_London + NY,551,233.0,318.0,42.3,529.0,-36.0,0.96,2.5,14.694444444444445
SESSION_Tokyo + London,628,275.0,353.0,43.8,669.0,-56.0,1.065,2.5,11.946428571428571
SESSION_All 4 (=baseline),910,412.0,498.0,45.3,1064.0,-64.0,1.169,2.5,16.625
STACK: best zone only,947,435.0,512.0,45.9,1151.0,-63.0,1.215,2.5,18.26984126984127
STACK: best sideways only,947,435.0,512.0,45.9,1151.0,-63.0,1.215,2.5,18.26984126984127
STACK: zone + sideways,161,72.0,89.0,44.7,182.0,-23.0,1.13,2.5,7.913043478260869
STACK: zone + timing,294,152.0,142.0,51.7,476.0,-16.0,1.619,2.5,29.75
STACK: sideways + timing,104,43.0,61.0,41.3,93.0,-16.0,0.894,2.5,5.8125
STACK: ALL (zone+sw+timing),74,31.0,43.0,41.9,69.0,-16.0,0.932,2.5,4.3125
STACK: ALL + BUY only,42,20.0,22.0,47.6,56.0,-9.0,1.333,2.5,6.222222222222222
STACK: ALL + ARROW only,39,20.0,19.0,51.3,62.0,-8.0,1.59,2.5,7.75
STACK: ALL + BUY + ARROW,26,14.0,12.0,53.8,46.0,-8.0,1.769,2.5,5.75
